iter	Logloss	Accuracy
614	0.004224024415	1
615	0.0042210114	1
616	0.004220873117	1
617	0.004101590514	1
618	0.004101413488	1
619	0.00410128355	1
620	0.004101039767	1
621	0.004100935459	1
622	0.004100883007	1
623	0.004082893729	1
624	0.004075297713	1
625	0.004074071646	1
626	0.004074044824	1
627	0.004073945284	1
628	0.004068679512	1
629	0.004068353772	1
630	0.004068098664	1
631	0.004068028331	1
632	0.004064451456	1
633	0.003977072239	1
634	0.003946076632	1
635	0.00394441247	1
636	0.003941159546	1
637	0.003940498531	1
638	0.003940135241	1
639	0.003940070271	1
640	0.003940028548	1
641	0.003939979374	1
642	0.003939972818	1
643	0.003915519118	1
644	0.003905377388	1
645	0.00390253067	1
646	0.003902493417	1
647	0.003901264369	1
648	0.003900215626	1
649	0.003899723291	1
650	0.003898165226	1
651	0.003867602348	1
652	0.003862362504	1
653	0.003861607909	1
654	0.003859330416	1
655	0.003857260346	1
656	0.003855779767	1
657	0.003855655193	1
658	0.003855460286	1
659	0.003855392933	1
660	0.003855309486	1
661	0.003855252862	1
662	0.003855085671	1
663	0.003855051994	1
664	0.003855008781	1
665	0.003854995966	1
666	0.003852827549	1
667	0.003851257265	1
668	0.003851163983	1
669	0.003850550652	1
670	0.003850389123	1
671	0.00385001719	1
672	0.003849830031	1
673	0.003849674463	1
674	0.003849619031	1
675	0.003849552274	1
676	0.003847762942	1
677	0.003846515417	1
678	0.003828219771	1
679	0.003823508024	1
680	0.003673477173	1
681	0.003668236732	1
682	0.003667913675	1
683	0.003667362332	1
684	0.003638660908	1
685	0.00363566041	1
686	0.003635142446	1
687	0.00363373518	1
688	0.003633598685	1
689	0.003632949889	1
690	0.003631421924	1
691	0.003629868031	1
692	0.003627038002	1
693	0.003626796007	1
694	0.003625011742	1
695	0.003624867201	1
696	0.00362483114	1
697	0.00362483114	1
698	0.003624841571	1
699	0.003623955846	1
700	0.003623845577	1
701	0.003621929586	1
702	0.003621820211	1
703	0.003620671928	1
704	0.003620626926	1
705	0.00362057507	1
706	0.003619722724	1
707	0.003618950248	1
708	0.003618935347	1
709	0.003617978096	1
710	0.003617091775	1
711	0.003616416156	1
712	0.003616337776	1
713	0.003616297245	1
714	0.003616243005	1
715	0.00357111007	1
716	0.003565478623	1
717	0.003563857675	1
718	0.003563576341	1
719	0.003562918305	1
720	0.003562143445	1
721	0.003558830023	1
722	0.003558755517	1
723	0.0035581249	1
724	0.003558077514	1
725	0.003557469249	1
726	0.003557440937	1
727	0.003556859493	1
728	0.003555990756	1
729	0.003554562032	1
730	0.003551418185	1
731	0.003550002277	1
732	0.003547564745	1
733	0.003514879942	1
734	0.003512520194	1
735	0.003512468934	1
736	0.003512436152	1
737	0.003511324227	1
738	0.003511225283	1
739	0.00351017952	1
740	0.003509260416	1
741	0.003449115753	1
742	0.003447076678	1
743	0.003407673836	1
744	0.003407457173	1
745	0.003407398462	1
746	0.003406534791	1
747	0.003402460814	1
748	0.003400824666	1
749	0.003400265574	1
750	0.003398907781	1
751	0.003398706019	1
752	0.003397760093	1
753	0.003366100788	1
754	0.003364065886	1
755	0.003363287449	1
756	0.003361924291	1
757	0.003361644149	1
758	0.003314873576	1
759	0.003309447169	1
760	0.003308243155	1
761	0.003306336999	1
762	0.003270151913	1
763	0.003251754642	1
764	0.003251308501	1
765	0.003251116276	1
766	0.003251020908	1
767	0.003250988126	1
768	0.003214335442	1
769	0.003214188516	1
770	0.003211947083	1
771	0.003210849762	1
772	0.003210106492	1
773	0.003207895458	1
774	0.003193925619	1
775	0.003192684054	1
776	0.003191342354	1
777	0.003191223741	1
778	0.003190875649	1
779	0.003190541863	1
780	0.003190270066	1
781	0.003189975619	1
782	0.003189680874	1
783	0.003185769022	1
784	0.003185129464	1
785	0.003184671104	1
786	0.003184592426	1
787	0.003184571862	1
788	0.003184069991	1
789	0.00318381846	1
790	0.003183521926	1
791	0.003183497787	1
792	0.003183299601	1
793	0.00318326354	1
794	0.003183047473	1
795	0.003183016479	1
796	0.003182960749	1
797	0.00318215102	1
798	0.003175559342	1
799	0.003170885444	1
800	0.00316706717	1
